Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
bafkreiehno4e7qml6tlxdivex4x4gianv2akf3eoyghmtzknihu2wstqm4.ipfs.w3s.link,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
thedoc-sharedrive-0utlook.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
carta-processotitolare.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
myether-wall.top,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
fevrier-897c1.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
hhicsc.webwave.dev,0,0,1,3,0,0,0,0,0,0,0,1,1,1,0,1
dev-protegerdatos-homeitau.pantheonsite.io,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
amdan-azo-co.laisnd.azhcvt.top,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
airdrop-zksync.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
mttbs-hiplo09.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
client.pfaff-embroidery.eu,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1
help-center391.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
ebfqthkfyf.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
consenti-restrizione.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
help-center585.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
eki-ehery.longmusic.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
help-center582.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
which0x001.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
cpcontacts.chloebroadcasting.shopnexusbroadcast.com,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1
thevinylspectrum.com,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1
status-review-100256681991.web.app,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
firstclass222.w3spaces.com,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
accedi-utente-it.67-223-117-171.cprapid.com,0,0,1,2,0,0,0,1,0,0,1,1,1,1,1,1
dpgbsfsyca.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
owarstmp000007.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
hjy.biblo.top,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1
svm-1u.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
bragativoe.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
me4sport.com,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1
bpsync3.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
chimesweepstakes62.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
bitkub-lojascacula.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1
help-center671.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
att-109695.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
dev-usgdfs.pantheonsite.io,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
7b7l.short.gy,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
goonline.bbnppparibas.tech,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
scrtysetting.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
utre-ddb8a.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
csmoney.domainscsgo.net,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
brooksair.top,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
cubbychase5k10k.org,0,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1
suavit.ca,0,0,1,5,0,0,0,0,0,0,0,1,1,1,1,1
agencebp01.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
beoinvest.tech,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
webmail.salemgroups.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,0,1
gestione-del-rinnovo.ingdevincenzi.it,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1
acikdenizmobiliv2.co.vu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
metasupport1020340234023432.web.app,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
am22fcu.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
dev-e-bisasecurelogin-bolivia.pantheonsite.io,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
joeroundxx004.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
panelorange.2waky.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
office.ways-status.workers.dev,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
help-center425.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
niscohealth-0utlook-invite.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
addcima.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
230412.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
help-center266.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
qwasw-56dec.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
brank.ch,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
ga-games-ac.com,0,0,1,2,0,0,0,1,0,0,0,1,1,1,1,1
amazon-hvmnbbm.dns04.com,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1
us-east1-black-octagon-376806.cloudfunctions.net,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
kunsamanres.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
